title;start;path_gdx_ref;path_gdx_bau;cm_feedstockMatchingBiomass;cm_BCLearning;cm_ccapturescen;c_ccsinjecratescen;cm_biocharRevenue;cm_biocharRevenueValue;cm_biocharRegionalMatching;cm_biocharLowTech;cm_tradbio_phaseout;cm_biocharMedGasTech;cm_biocharMedBCTech;cm_biocharHighTech;c_keep_iteration_gdxes;cm_nash_autoconverge;cm_iteration_max;cm_rcp_scen;cm_iterative_target_adj;subsidizeLearning;c_budgetCO2from2020;carbonprice;cm_co2_tax_2020;cm_peakBudgYr;cm_emiscen;c_regi_earlyreti_rate;c_tech_earlyreti_rate;techpol;regipol;cm_multigasscen;cm_EDGEtr_scen;water;cm_startyear
NDC-noLearn-noBECCS;0;./output/Base-noLearn-noBECCS_2023-02-13_15.09.47/fulldata.gdx;./output/Base-noLearn-noBECCS_2023-02-13_15.09.47/fulldata.gdx;0;0;3;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-noLearn-noBECCS;0;./output/NDC-noLearn-noBECCS_2023-02-14_13.56.17/fulldata.gdx;./output/Base-noLearn-noBECCS_2023-02-13_15.09.47/fulldata.gdx;0;0;3;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-noLearn-noBECCS;0;./output/NDC-noLearn-noBECCS_2023-02-14_13.56.17/fulldata.gdx;./output/Base-noLearn-noBECCS_2023-02-13_15.09.47/fulldata.gdx;0;0;3;1;0;0;0;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
PkBudg1000-noLearn-noBECCS;0;./output/NDC-noLearn-noBECCS_2023-02-14_13.56.17/fulldata.gdx;./output/Base-noLearn-noBECCS_2023-02-13_15.09.47/fulldata.gdx;0;0;3;1;0;0;0;1;default;1;1;0;0;1;100;rcp26;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-noLearn-noCCS;0;;;0;0;1;0;0;0;0;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-noLearn-noCCS;0;Base-noLearn-noCCS;Base-noLearn-noCCS;0;0;1;0;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-noLearn-noCCS;0;NDC-noLearn-noCCS;Base-noLearn-noCCS;0;0;1;0;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-noLearn-noCCS;0;NDC-noLearn-noCCS;Base-noLearn-noCCS;0;0;1;0;0;0;0;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
PkBudg1000-noLearn-noCCS;0;NDC-noLearn-noCCS;Base-noLearn-noCCS;0;0;1;0;0;0;0;1;default;1;1;0;0;1;100;rcp26;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-noLearn-lowCCS;0;;;0;0;1;5;0;0;0;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-noLearn-lowCCS;0;./output/Base-noLearn-lowCCS_2023-01-27_13.35.00/fulldata.gdx;./output/Base-noLearn-lowCCS_2023-01-27_13.35.00/fulldata.gdx;0;0;1;5;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-noLearn-lowCCS;0;./output/NDC-noLearn-lowCCS_2023-01-28_14.01.45/fulldata.gdx;./output/Base-noLearn-lowCCS_2023-01-27_13.35.00/fulldata.gdx;0;0;1;5;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-noLearn-lowCCS;0;./output/NDC-noLearn-lowCCS_2023-01-28_14.01.45/fulldata.gdx;./output/Base-noLearn-lowCCS_2023-01-27_13.35.00/fulldata.gdx;0;0;1;5;0;0;0;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
PkBudg1000-noLearn-lowCCS;0;./output/NDC-noLearn-lowCCS_2023-01-28_14.01.45/fulldata.gdx;./output/Base-noLearn-lowCCS_2023-01-27_13.35.00/fulldata.gdx;0;0;1;5;0;0;0;1;default;1;1;0;0;1;100;rcp26;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-noLearn-onlyBC;0;;;0;0;1;1;0;0;0;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-noLearn-onlyBC;0;Base-noLearn-onlyBC;Base-noLearn-onlyBC;0;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-noLearn-onlyBC;0;NDC-noLearn-onlyBC;Base-noLearn-onlyBC;0;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-noLearn-onlyBC;0;NDC-noLearn-onlyBC;Base-noLearn-onlyBC;0;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
PkBudg1000-noLearn-onlyBC;0;NDC-noLearn-onlyBC;Base-noLearn-onlyBC;0;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp26;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-FSM-noLearn-PO;0;;;2;0;1;1;0;0;0;1;fast;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
Base-FSM-noLearn-debug;0;;;2;0;1;1;0;0;0;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;regiCarbonPrice;2;Mix1;heat;2005
NDC-FSM-noLearn-PO;0;Base-FSM-noLearn-PO;Base-FSM-noLearn-PO;2;0;1;1;0;0;0;1;fast;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-FSM-noLearn-PO;0;NDC-FSM-noLearn-PO;Base-FSM-noLearn-PO;2;0;1;1;0;0;0;1;fast;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-FSM-noLearn-PO;0;NDC-FSM-noLearn-PO;Base-FSM-noLearn-PO;2;0;1;1;0;0;0;1;fast;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-FSM-noLearn-onlyBC;0;;;1;0;1;1;0;0;0;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-FSM-noLearn-onlyBC;0;Base-FSM-noLearn-onlyBC;Base-FSM-noLearn-onlyBC;1;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-FSM-noLearn-onlyBC;0;NDC-FSM-noLearn-onlyBC;Base-FSM-noLearn-onlyBC;1;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-FSM-noLearn-onlyBC;0;NDC-FSM-noLearn-onlyBC;Base-FSM-noLearn-onlyBC;1;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-FSM-rm-noLearn;0;;;1;0;1;1;0;0;1;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-FSM-rm-noLearn;0;Base-FSM-rm-noLearn;Base-FSM-rm-noLearn;1;0;1;1;0;0;1;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-FSM-rm-noLearn;0;NDC-FSM-rm-noLearn;Base-FSM-rm-noLearn;1;0;1;1;0;0;1;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-FSM-rm-noLearn;0;NDC-FSM-rm-noLearn;Base-FSM-rm-noLearn;1;0;1;1;0;0;1;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-FSM-rm-noLearn-onlyBC;0;;;1;0;1;1;0;0;1;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-FSM-rm-noLearn-onlyBC;0;Base-FSM-rm-noLearn-onlyBC;Base-FSM-rm-noLearn-onlyBC;1;0;1;1;0;0;1;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-FSM-rm-noLearn-onlyBC;0;NDC-FSM-rm-noLearn-onlyBC;Base-FSM-rm-noLearn-onlyBC;1;0;1;1;0;0;1;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-FSM-rm-noLearn-onlyBC;0;NDC-FSM-rm-noLearn-onlyBC;Base-FSM-rm-noLearn-onlyBC;1;0;1;1;0;0;1;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-FSM-rm-noLearn-onlyLT-fastPhaseOut;0;;;1;0;1;1;0;0;1;1;fast;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-FSM-rm-noLearn-onlyLT-fastPhaseOut;0;Base-FSM-rm-noLearn-onlyLT-fastPhaseOut;Base-FSM-rm-noLearn-onlyLT-fastPhaseOut;1;0;1;1;0;0;1;1;fast;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-FSM-rm-noLearn-onlyLT-fastPhaseOut;0;NDC-FSM-rm-noLearn-onlyLT-fastPhaseOut;Base-FSM-rm-noLearn-onlyLT-fastPhaseOut;1;0;1;1;0;0;1;1;fast;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-FSM-rm-noLearn-onlyLT-fastPhaseOut;0;NDC-FSM-rm-noLearn-onlyLT-fastPhaseOut;Base-FSM-rm-noLearn-onlyLT-fastPhaseOut;1;0;1;1;0;0;1;1;fast;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
Base-rm-noLearn;0;;;0;0;1;1;0;0;1;1;default;1;1;0;0;1;100;none;0;off;0;none;-1;2100;1;GLO 0.09, EUR_regi 0.15;off;none;;2;Mix1;heat;2005
NDC-rm-noLearn;0;Base-rm-noLearn;Base-rm-noLearn;0;0;1;1;0;0;1;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;3;Mix2;heat;2015
NPi-rm-noLearn;0;NDC-rm-noLearn;Base-rm-noLearn;0;0;1;1;0;0;1;1;default;1;1;0;0;1;100;rcp45;3;off;0;NPi2018;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NPi2018;regiCarbonPrice;3;Mix1;heat;2025
PkBudg500-rm-noLearn;0;NDC-rm-noLearn;Base-rm-noLearn;0;0;1;1;0;0;1;1;default;1;1;0;0;1;100;rcp20;9;globallyOptimal;500;diffCurvPhaseIn2Lin;100;2080;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;regiCarbonPrice;2;Mix4;heat;2025
NDC-debug-MEA-nonoptgdx;0;Base;Base;0;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;;3;Mix2;heat;2015
NDC-start-completedgdx;0;Base;Base;0;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;;3;Mix2;heat;2015
NDC-start-flextaxoff;0;Base;Base;0;0;1;1;0;0;0;1;default;1;1;0;0;1;100;rcp45;3;globallyOptimal;0;NDC;1;2100;9;GLO 0.09, EUR_regi 0.15;GLO.(biodiesel 0.14, bioeths 0.14), EUR_regi.(biodiesel 0.15, bioeths 0.15), USA_regi.pc 0.13, REF_regi.pc 0.13, CHA_regi.pc 0.13;NDC;;3;Mix2;heat;2015
